source_site,source_product_id,name,sku,permalink,price,regular_price,sale_price,on_sale,category_slugs,category_names,size_inferred,gsm_inferred,in_stock,image_primary,short_description_text
banhat,6459,Giấy Ép Plastic A4 100mic,BEPLASTICA4100,https://vanphongphambanhat.com.vn/san-pham/giay-ep-plastic-a4-100mic/,180000,180000,180000,False,giay-bia-mau|giay-in-van-phong,Giấy Bìa Màu|GIẤY IN VĂN PHÒNG,A4,,Còn hàng,https://vanphongphambanhat.com.vn/wp-content/uploads/2019/12/giay-ep-plastic-a4.png,"Thông tin về sản phẩm
Giấy Ép Plastic A4 100mic
Tên sản phẩm: tấm nhựa ép plastic.
Kích cỡ: Khổ A4.
Chất liệu: Nhựa PVC.
Độ dày: 100mic.
Quy cách: 100 tờ/ xấp.
Bề mặt ép: Nhựa trong suốt."
banhat,6460,Giấy ép Bằng Lái 160 mic,BIAPLASTICBANGLAI,https://vanphongphambanhat.com.vn/san-pham/ep-deo-bang-lai-xe/,40000,45000,40000,True,giay-bia-mau|giay-in-van-phong,Giấy Bìa Màu|GIẤY IN VĂN PHÒNG,,,Còn hàng,https://vanphongphambanhat.com.vn/wp-content/uploads/2019/12/bia-plastic-ep-deo-bang-lai-xa-1.png,"Màng nhựa dẻo ép plastic bằng lái xe k
ích cỡ 80x110mm bằng c
hất liệu nhựa PVC có đ
ộ dày 160 mic.
Đây là sản phẩm tấm nhựa dẻo ép bằng lái xe có độ trong suốt được đánh giá cao. Giúp cho các sản phẩm khi được ép luôn có độ sắc nét về hình ảnh cũng như rõ nét về từng con chữ.
Bề mặt bìa plastic ép bằng lái là nhựa cứng, bởi vậy chúng luôn có tác dụng bảo vệ hình ảnh hay các loại giấy tờ vô cùng tốt.
Tạo cho người tiêu dùng cảm giác an toàn tuyệt đối trong việc bảo vệ giấy tờ. Tránh những tác nh"
banhat,6462,Bìa Thái A4 180 gsm,BTHAIA4XDUONG,https://vanphongphambanhat.com.vn/san-pham/bia-thai-a4/,19000,24000,19000,True,giay-bia-mau|giay-in-van-phong,Giấy Bìa Màu|GIẤY IN VĂN PHÒNG,A4,180,Còn hàng,https://vanphongphambanhat.com.vn/wp-content/uploads/2019/12/giay-bia-thai-a4-nhieu-mau-gia-re-1.png,"Giấy bìa Thái A4 / A5 180gsm nhiều màu
trắng, xanh dương, xanh lá, vàng, hồng
Xuất xứ:
Thái
Lan
Quy cách:
Khổ A4 / A5
Màu sắc:
trắng, xanh dương, xanh lá, vàng, hồng.
Định lượng
: 180 gsm
Đóng gói:
100 tờ / xấp
Tình trạng:
còn hàng"
banhat,6463,Bìa thơm A4 có 5 màu,BTHOMA4DAY,https://vanphongphambanhat.com.vn/san-pham/bia-thom-a4-co-5-mau/,73000,73000,73000,False,giay-bia-mau|giay-in-van-phong,Giấy Bìa Màu|GIẤY IN VĂN PHÒNG,,,Còn hàng,https://vanphongphambanhat.com.vn/wp-content/uploads/2019/12/bia-thom-a4-nhieu-mau-gia-re.png,"Giấy bìa thơm A4 160 gsm nhiều màu
Nhà sản xuất: Thái Lan.
Thương hiệu: STD.
Kích thước: A4.
Màu sắc: 5 màu.
Quy cách : 100 tờ/xấp
Đơn vị tính: xấp
Định lượng :160gsm."
banhat,6464,BÌA THÁI A3 180 GSM,BTHAIA3XDUONG,https://vanphongphambanhat.com.vn/san-pham/bia-thai-a3/,73000,82000,73000,True,giay-bia-mau|giay-in-van-phong,Giấy Bìa Màu|GIẤY IN VĂN PHÒNG,A3,180,Còn hàng,https://vanphongphambanhat.com.vn/wp-content/uploads/2019/12/giay-bia-thai-a3-nhieu-mau-gia-re.png,"Giấy bìa thái A3 180gsm nhiều màu
Xuất xứ: Thái Lan
Quy cách:
Khổ A3
Màu sắc:
trắng, xanh dương, xanh lá, vàng, hồng.
Định lượng
: 180 gsm
Đóng gói:
100 tờ / ream"
banhat,6465,Bìa Mỹ A4 có nhiều màu,BMYA4XDUONG,https://vanphongphambanhat.com.vn/san-pham/bia-my-a4-co-nhieu-mau/,105000,125000,105000,True,giay-bia-mau|giay-in-van-phong,Giấy Bìa Màu|GIẤY IN VĂN PHÒNG,A4,,Còn hàng,https://vanphongphambanhat.com.vn/wp-content/uploads/2019/12/giay-bia-my-a4-nhieu-mau-gia-re-1.png,"Giấy bìa Mỹ k
hổ A4
Loại
100 tờ/ xấp. Nhiều màu tùy chọn
Tím, cam, lá, dương,..
Xuất xứ: Mỹ
Giấy in bìa Mỹ A4 được đánh giá là khá dày dặn và có độ cứng phù hợp, khó bị cong vênh trong quá trình sử dụng. Giấy bìa
luôn có bề mặt bóng mịn,
sau khi in luôn giữ được màu in cũng như có độ sắc nét cao,
không bị loang mực, nhòe mực."
banhat,6468,Bìa Mỹ A3 lớn,BMYF3CAM,https://vanphongphambanhat.com.vn/san-pham/bia-my-a3-lon-kho-f3/,200000,220000,200000,True,giay-bia-mau|giay-in-van-phong,Giấy Bìa Màu|GIẤY IN VĂN PHÒNG,,,Còn hàng,https://vanphongphambanhat.com.vn/wp-content/uploads/2019/12/bia-my-a3-f3-lon-1.png,"Giấy bìa Mỹ A3 cỡ lớn F3
Xuất xứ:
Mỹ
Quy cách:
Khổ
A3, khổ lớn F3
Màu sắc:
hồng, vàng, cam, tím, đỏ, xanh lá, xanh dương.
Kích thước:
320×480 mm
Đóng gói:
100 tờ / xấp"
banhat,6469,Giấy in nhiệt K80,GTTNLS8F,https://vanphongphambanhat.com.vn/san-pham/giay-in-nhiet-k80/,9800,13000,9800,True,giay-in-nhiet|giay-in-van-phong,Giấy In Nhiệt|GIẤY IN VĂN PHÒNG,,,Còn hàng,https://vanphongphambanhat.com.vn/wp-content/uploads/2019/12/giay-in-nhiet-k80-vpp-ba-nhat.jpg,"Loại giấy: giấy in nhiệt.
– Quy cách: k57, k80.
– Xuất xứ: Nhật Bản.
– Màu sắc: trắng.
– Đóng gói: dạng cuộn 30mm, 38mm, 45mm (đối với giấy k57) và 45mm, 65mm, 100mm (đối với giấy k80)."
banhat,6470,Giấy Fax Nhiệt 210 cm,GFAXNHIETMISU21,https://vanphongphambanhat.com.vn/san-pham/giay-fax-nhiet-210-cm/,24000,28000,24000,True,giay-in-nhiet|giay-in-van-phong,Giấy In Nhiệt|GIẤY IN VĂN PHÒNG,,,Còn hàng,https://vanphongphambanhat.com.vn/wp-content/uploads/2019/12/giay-fax-nhiet-sakura-210-cm-vpp-ba-nhat.jpg,"Giấy fax nhiệt 210 cm có xuất xứ từ Japan. Đây là một trong những sản phẩm được sản xuất trên dây chuyền công nghệ hiện đại cùng những nguyên vật liệu được chọn lọc kỹ lưỡng nên sản phẩm luôn có độ mỏng đạt chuẩn.
Bởi vậy mà chúng cũng cho tuổi thọ lâu hơn khoảng 3 lần so với giấy in kim.
Giấy Fax Nhiệt 210 cm
luôn cho ra đời những thành phẩm là những bản in rõ ràng, sắc nét, hoàn toàn không bị mờ hay nhòe mực, sản phẩm được phân phối tại văn phòng phẩm Ba Nhất."
banhat,6471,Giấy Ford Màu A4 70,GFORA470VANG,https://vanphongphambanhat.com.vn/san-pham/giay-ford-mau-a4-70/,75000,77000,75000,True,giay-in-van-phong|giay-ford-mau,GIẤY IN VĂN PHÒNG|Giấy Ford Màu,A4,,Còn hàng,https://vanphongphambanhat.com.vn/wp-content/uploads/2019/12/giay-ford-mau-a4-70.jpg,"Giấy Ford màu A4 70 là một trong những sản phẩm cao cấp mang những tính năng tuyệt hảo.
Đây là sản phẩm được rất nhiều khách hàng ưa chuộng sử dụng bởi chúng có tính linh hoạt trong in ấn, hơn nữa chúng có thể sử dụng cho tất cả các dòng máy in mà không hề kén bất cứ loại máy in nào.
Đặc biệt, sản phẩm này luôn có độ ăn mực cao, các bản in sau khi được in ra luôn đảm bảo độ rõ nét, không kề bị nhòe mực hay nhòe chữ, sản phẩm được bày bán và phân phối bởi văn phòng phẩm Ba Nhất và trên thị trường"
banhat,6472,Giấy Ford Màu A5 70,GFORA570HONG,https://vanphongphambanhat.com.vn/san-pham/giay-ford-mau-a5-70/,38500,40000,38500,True,giay-in-van-phong|giay-ford-mau,GIẤY IN VĂN PHÒNG|Giấy Ford Màu,,,Còn hàng,https://vanphongphambanhat.com.vn/wp-content/uploads/2019/12/giay-for-mau-a5-70gsm.jpg,"Giấy Ford màu A5 70 là một trong những loại giấy in được sản xuất trực tiếp tại Việt Nam, trên dây chuyền công nghệ tiên tiến và hệ thống máy móc hiện đại.
Giấy loại khổ A5 này thường có 4 màu cơ bản: hồng, vàng, xanh lá, xanh dương, tạo cho khách hàng có nhiều lựa chọn màu sắc phù hợp với tính chất từng công việc.
Hơn nữa, giấy có độ nhám nhẹ, giúp cho quá trình in thấm hút mực rất nhanh. Loại giấy này vẫn luôn được khách hàng đánh giá rất cao vì chất lượng sản phẩm mà nó mang lại khi sử dụng."
banhat,6474,Giấy Ford Màu A4 80,GFORA480DUONG,https://vanphongphambanhat.com.vn/san-pham/giay-ford-mau-a4-80/,85000,85000,85000,False,giay-in-van-phong|giay-ford-mau,GIẤY IN VĂN PHÒNG|Giấy Ford Màu,,,Còn hàng,https://vanphongphambanhat.com.vn/wp-content/uploads/2019/12/giay-ford-mau-a4-80gsm.jpg,"Giấy Ford Màu A4 80 được đánh giá tốt từ nguyên liệu bột giấy đến quá trình chế xuất. Với loại bột giấy cao cấp pha màu nhuộm chuẩn không gây độc hại.
Và hệ thống máy móc sản xuất hiện đại, tiên tiến đã cho ra đời loại giấy dày, không có bụi giấy và không gây ảnh hưởng đến sức khỏe người sử dụng.
Thành phẩm giấy dày dặn, không có cặn giấy và không gây hại đến sức khỏe người sử dụng.Với chất lượng sản phẩm của mình, Giấy Ford Màu A4 80 luôn tự tin mang đến sự hài lòng tuyệt đối cho khách hàng sử "
banhat,6475,Giấy Ford Màu A5 80,GFORA580XL,https://vanphongphambanhat.com.vn/san-pham/giay-ford-mau-a5-80/,43500,45000,43500,True,giay-in-van-phong|giay-ford-mau,GIẤY IN VĂN PHÒNG|Giấy Ford Màu,,,Còn hàng,https://vanphongphambanhat.com.vn/wp-content/uploads/2019/12/giay-ford-mau-a5-80gsm.jpg,"Giấy Ford một loại giấy đa năng tiện dùng trong rất nhiều lĩnh vực. Đặc biệt được ưa chuộng trong việc in ấn, thiết kế, tạo mẫu và trang trí. Giấy xuất xứ từ Indonesia. Một trong những dòng giấy sản xuất trên chất liệu cao cấp, thiết bị cao cấp và hiện đại chuyên dùng cho dân văn phòng và các tiệm in ấn. Sản phẩm được phân phối bởi văn phòng phẩm Ba Nhất."
